date, pm25, pm10, o3, no2, so2, co
2019/8/29, 50, 20, 7, 10, 3, 3
2019/8/30, 32, 21, 23, 20, 7, 4
2019/8/31, 43, 32, 64, 10, 5, 3
2019/9/1, 62, 34, 26, 20, 7, 4
2019/9/2, 60, 29, 23, 15, 2, 4
2019/9/3, 52, 14, 29, 12, 1, 3
2019/9/4, 31, 21, 37, 17, 6, 4
2019/9/5, 50, 28, 22, 21, 7, 5
2019/9/6, 52, 19, 13, 11, 8, 3
2019/9/7, 36, 27, 15, 7, 4, 2
2019/9/8, 36, 28, 23, 16, 7, 3
2019/9/9, 35, 34, 57, 25, 7, 4
2019/9/10, 58, 34, 41, 23, 5, 4
2019/9/11, 53, 12, 35, 13, 1, 3
2019/9/12, 24, 13, 22, 14, 2, 2
2019/9/13, 26, 15, 26, 14, 1, 3
2019/9/14, 30, 15, 31, 7, 1, 3
2019/9/15, 28, 9, 18, 9, 2, 3
2019/9/16, 14, 18, 24, 15, 2, 3
2019/9/17, 33, 14, 21, 14, 1, 2
2019/9/18, 27, 13, 30, 16, 2, 2
2019/9/19, 32, 14, 36, 14, 3, 3
2019/9/20, 35, 13, 28, 12, 1, 2
2019/9/21, 31, 13, 33, 5, 1, 2
2019/9/22, 25, 19, 25, 7, 4, 3
2019/9/23, 29, 14, 22, 19, 3, 4
2019/9/24, 28, 12, 30, 18, 7, 2
2019/9/25, 29, 14, 35, 13, 2, 2
2019/9/26, 34, 19, 42, 25, 9, 3
2019/9/27, 46, 19, 25, 24, 10, 3
2019/9/28, 46, 19, 20, 19, 8, 5
2019/9/29, 34, 18, 29, 17, 3, 4
2019/9/30, 45, 20, 41, 17, 4, 3
2019/4/1, 28, 10, 33, 12, 2, 3
2019/4/2, 39, 10, 36, 8, 1, 3
2019/4/3, 43, 17, 33, 26, 5, 4
2019/4/4, 59, 19, 46, 21, 4, 4
2019/4/5, 57, 22, 51, 17, 6, 4
2019/4/6, 60, 25, 52, 17, 5, 3
2019/4/7, 59, 15, 36, 15, 2, 2
2019/4/8, 47, 7, 36, 9, 1, 2
2019/4/9, 27, 7, 25, 22, 2, 3
2019/4/10, 33, 4, 34, 7, , 2
2019/4/11, 15, 8, 30, 16, 1, 1
2019/4/12, 28, 12, 41, 17, 4, 3
2019/4/13, 44, 11, 43, 13, 4, 2
2019/4/14, 39, 13, 38, 13, 2, 2
2019/4/15, 34, 13, 44, 18, 6, 3
2019/4/16, 43, 18, 38, 28, 6, 3
2019/4/17, 53, 18, 46, 23, 6, 4
